service_id,date,exception_type
L2702LP200_027002,20260430,1
L2702LP200_027002,20260501,1
L2801LP106_028001,20260427,1
L2801LP106_028001,20260428,1
L2801LP106_028001,20260429,1
L2801LP106_028001,20260430,1
L2801LP106_028001,20260501,1
L2801S0109_028001,20260502,1
L2802LP103_028002,20260427,1
L2802LP103_028002,20260428,1
L2802LP103_028002,20260429,1
L2802LP103_028002,20260430,1
L2802LP103_028002,20260501,1
L3001LP102_030001,20260427,1
L3001LP102_030001,20260428,1
L3001LP102_030001,20260429,1
L3001LP102_030001,20260503,1
L3001LP203_030001,20260501,1
L3001SP102_030001,20260430,1
L3001SP102_030001,20260502,1
L3101FP102_031001,20260501,1
L3101FP102_031001,20260503,1
L3101LP101_031001,20260427,1
L3101LP101_031001,20260428,1
L3101LP101_031001,20260429,1
L3101LP101_031001,20260430,1
L3101LP101_031001,20260501,1
L3101SP103_031001,20260502,1
L3102LP101_031002,20260427,1
L3102LP101_031002,20260428,1
L3102LP101_031002,20260429,1
L3102LP101_031002,20260430,1
L3102LP101_031002,20260501,1
L3103LP103_031003,20260427,1
L3103LP103_031003,20260428,1
L3103LP103_031003,20260429,1
L3103LP103_031003,20260430,1
L3103LP103_031003,20260501,1
L3301LP104_033001,20260430,1
L3301LP104_033001,20260501,1
L3301LP104_033001,20260502,1
L4 01FP101_004001,20260501,1
L4 01FP101_004001,20260503,1
L4 01LP101_004001,20260427,1
L4 01LP101_004001,20260428,1
L4 01LP101_004001,20260429,1
L4 01LP101_004001,20260430,1
L4 01LP101_004001,20260501,1
L4 01SP102_004001,20260502,1
L4 02FP101_004002,20260501,1
L4 02FP101_004002,20260503,1
L4 02LP101_004002,20260427,1
L4 02LP101_004002,20260428,1
L4 02LP101_004002,20260429,1
L4 02LP101_004002,20260430,1
L4 02LP101_004002,20260501,1
L4 02SP102_004002,20260502,1
L4 03FP100_004003,20260501,1
L4 03FP100_004003,20260503,1
L4 03LP101_004003,20260427,1
L4 03LP101_004003,20260428,1
L4 03LP101_004003,20260429,1
L4 03LP101_004003,20260430,1
L4 03LP101_004003,20260501,1
L4 03SP100_004003,20260502,1
L4 04LP102_004004,20260427,1
L4 04LP102_004004,20260428,1
L4 04LP102_004004,20260429,1
L4 04LP102_004004,20260430,1
L4 04LP102_004004,20260501,1
L4 05LP200_004005,20260427,1
L4 05LP200_004005,20260428,1
